,repository_name,language
187,ml-superposition-prompting,Python
188,ml-symphony,Svelte
189,ml-tada,Python
190,ml-tarflow,Python
191,ml-tic-clip,Python
192,ml-tic-lm,Python
193,ml-toad,Python
194,ml-tract,Python
195,ml-transcript-translation-consistency-ratings,
196,ml-translate-vis,TypeScript
197,ml-tree-dst,Python
198,ml-tune-mode-convbn,Python
199,ml-tweak,Python
200,ml-ui-jepa,Python
201,ml-uncertainty-llms-instruction-following,Python
202,ml-upscale,Jupyter Notebook
203,ml-uwac,Python
204,ml-veclip,Jupyter Notebook
205,ml-vfi-smiff,Python
206,ml-vfm-kt,
207,ml-vision-transformers-ane,Python
208,ml-vivid,Python
209,music-feed-examples,Java
210,openjdk,Java
211,parameterized-transforms,Python
212,password-manager-resources,JavaScript
213,pfl-research,Jupyter Notebook
214,pir-service-example,Swift
215,pkl,Java
216,pkl-evolution,
217,pkl-go,Go
218,pkl-go-examples,Go
219,pkl-intellij,Kotlin
220,pkl-jvm-examples,Groovy
221,pkl-k8s,Pkl
222,pkl-k8s-examples,Pkl
223,pkl-lang.org,JavaScript
224,pkl-lsp,Kotlin
225,pkl-neovim,Lua
226,pkl-package-docs,Kotlin
227,pkl-pantry,Pkl
228,pkl-project-commons,Pkl
229,pkl-spring,Java
230,pkl-swift,Swift
231,pkl-swift-examples,Swift
232,pkl-vscode,TypeScript
233,pkl.tmbundle,Pkl
234,pytorch-speech-features,Python
235,rules_pkl,Starlark
236,sample-backyard-birds,Swift
237,sample-cloudkit-coredatasync,Swift
238,sample-cloudkit-encryption,Swift
239,sample-cloudkit-privatedb,Swift
240,sample-cloudkit-privatedb-sync,Swift
241,sample-cloudkit-queries,Swift
242,sample-cloudkit-sharing,Swift
243,sample-cloudkit-sync-engine,Swift
244,sample-cloudkit-tooling,JavaScript
245,sample-cloudkit-zonesharing,Swift
246,sample-fbounds-safety-adoption,HTML
247,sample-food-truck,Swift
248,security-pcc,Swift
249,servicetalk,Java
250,swift-3-api-guidelines-review,Swift
251,swift-algorithms,Swift
252,swift-argument-parser,Swift
253,swift-asn1,Swift
254,swift-async-algorithms,Swift
255,swift-async-dns-resolver,Swift
256,swift-atomics,Swift
257,swift-binary-parsing,Swift
258,swift-cassandra-client,Swift
259,swift-certificates,Swift
260,swift-clang,C++
261,swift-clang-tools-extra,C++
262,swift-cluster-membership,Swift
263,swift-collections,Swift
264,swift-collections-benchmark,Swift
265,swift-compiler-rt,C
266,swift-container-plugin,Swift
267,swift-crypto,Assembly
268,swift-distributed-actors,Swift
269,swift-distributed-tracing,Swift
270,swift-distributed-tracing-baggage-core,Swift
271,swift-distributed-tracing-extras,Swift
272,swift-evolution-staging,Swift
273,swift-homomorphic-encryption,Swift
274,swift-homomorphic-encryption-protobuf,
275,swift-http-structured-headers,Swift
276,swift-http-types,Swift
277,swift-internals,HTML
278,swift-issues,
279,swift-libcxx,C++
280,swift-llbuild2,Swift
281,swift-lldb,C++
282,swift-llvm,LLVM
283,swift-log,Swift
284,swift-metrics,Swift
285,swift-metrics-extras,Swift
286,swift-mmio,Swift
287,swift-nio,Swift
288,swift-nio-examples,Swift
289,swift-nio-extras,Swift
290,swift-nio-http2,Swift
291,swift-nio-imap,Swift
292,swift-nio-nghttp2-support,Swift
293,swift-nio-oblivious-http,Swift
294,swift-nio-ssh,Swift
295,swift-nio-ssl,Assembly
296,swift-nio-ssl-support,Swift
297,swift-nio-transport-services,Swift
298,swift-nio-zlib-support,Swift
299,swift-ntp,Swift
300,swift-numerics,Swift
301,swift-openapi-generator,Swift
302,swift-openapi-runtime,Swift
303,swift-openapi-urlsession,Swift
304,swift-play-experimental,Swift
305,swift-protobuf,Swift
306,swift-protobuf-plugin,
307,swift-protobuf-test-conformance,
308,swift-sample-distributed-actors-transport,Swift
309,swift-service-context,Swift
310,swift-service-discovery,Swift
311,swift-standard-library-preview,Swift
312,swift-statsd-client,Swift
313,swift-string-processing-benchmarks,Swift
314,swift-system,Swift
315,swift-tools-support-async,Swift
316,swift-xcode-playground-support,Swift
317,swiftpm-on-llbuild2,Swift
318,tensor-visualizer,Svelte
319,tensorflow_macos,Shell
320,ToolSandbox,Python
321,tree-sitter-pkl,Kotlin
322,turicreate,C++
323,unityplugins,C#
324,VideoFlashingReduction,Mathematica
325,visatronic-demo,HTML
326,vqg-multimodal-assistant,Python
